cml_id;isSublink;nRecords;nNAs;timeOfFirstAvailValue;timeOfLastAvailValue;band;frequency;polarisation;site_0_lon;site_0_lat ;site_1_lon;site_1_lat;length;id1;id2;isPairingUnique;nRecords
10001_10066_3107;TRUE;426044;23;13.01.2021 14:05;05.11.2021 10:48;38;37793;vertical;14.433162;50.074913;14.438855;50.072815;470;10001_10066;3107;TRUE;NA
10001_10066_3107;TRUE;426044;25;13.01.2021 14:05;05.11.2021 10:48;38;39053;vertical;14.433162;50.074913;14.438855;50.072815;470;10001_10066;3107;TRUE;NA
10001_10385_3108;TRUE;426044;21;13.01.2021 14:05;05.11.2021 10:48;38;37821;vertical;14.433162;50.074913;14.446061;50.075554;930;10001_10385;3108;TRUE;NA
10001_10385_3108;TRUE;426044;13;13.01.2021 14:05;05.11.2021 10:48;38;39081;vertical;14.433162;50.074913;14.446061;50.075554;930;10001_10385;3108;TRUE;NA
10001_11050_3109;TRUE;426044;21;13.01.2021 14:05;05.11.2021 10:48;38;37779;vertical;14.433162;50.074913;14.432606;50.075237;50;10001_11050;3109;TRUE;NA
10001_11050_3109;TRUE;426044;12;13.01.2021 14:05;05.11.2021 10:48;38;39039;vertical;14.433162;50.074913;14.432606;50.075237;50;10001_11050;3109;TRUE;NA
10001_11061_3110;TRUE;426044;21;13.01.2021 14:05;05.11.2021 10:48;32;32564;vertical;14.433162;50.074913;14.437192;50.073414;330;10001_11061;3110;TRUE;NA
10001_11061_3110;TRUE;426044;21;13.01.2021 14:05;05.11.2021 10:48;32;33376;vertical;14.433162;50.074913;14.437192;50.073414;330;10001_11061;3110;TRUE;NA
10001_11085_3111;TRUE;426044;43200;13.01.2021 14:05;19.01.2021 9:10;32;32305;vertical;14.433162;50.074913;14.433306;50.072304;290;10001_11085;3111;TRUE;NA
10001_11085_3111;TRUE;426044;43200;13.01.2021 14:05;19.01.2021 9:10;32;33117;vertical;14.433162;50.074913;14.433306;50.072304;290;10001_11085;3111;TRUE;NA
10001_15287_3112;TRUE;426044;32;13.01.2021 14:05;05.11.2021 10:48;38;37527;vertical;14.433162;50.074913;14.430555;50.074722;190;10001_15287;3112;TRUE;NA
10001_15287_3112;TRUE;426044;13;13.01.2021 14:05;05.11.2021 10:48;38;38787;vertical;14.433162;50.074913;14.430555;50.074722;190;10001_15287;3112;TRUE;NA
10001_339060_3113;TRUE;426044;30;13.01.2021 14:05;05.11.2021 10:48;32;32550;vertical;14.433162;50.074913;14.430521;50.074253;200;10001_339060;3113;TRUE;NA
